id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14055624,Cosy room for one non-smoker,30489899,Home On Blaine,,Allston,42.35655,-71.13828,Private room,38,112,1,2016-07-20,0.02,4,362,0,
14057466,"2 BR | 1 BA  Close to DWTN & Medical, Free PRKG",30314324,Eileen,,Jamaica Plain,42.31316,-71.11279,Entire home/apt,130,5,130,2021-11-27,1.99,1,296,16,STR-386367
14071446,Twins in a peaceful room.,18896448,Sandy,,Jamaica Plain,42.32135,-71.11285,Private room,65,91,8,2016-12-06,0.12,2,0,0,
14086516,# friendly family home,27871799,Althea,,Mattapan,42.27486,-71.077,Private room,100,1,43,2021-10-26,0.65,6,309,13,STR-415974
14091605,⍟ Lofty South End Room with Street Parking! ⍟,12452436,Drew,,South End,42.33959,-71.07446,Private room,25,1,111,2021-10-24,1.69,2,0,11,STR-447270
14105971,Tranquil Treetop Loft,79103444,Bruce,,Jamaica Plain,42.30762,-71.10968,Entire home/apt,149,4,249,2021-12-12,3.79,1,139,23,STR-445594
14109003,"3rd floor condo, 2 bedrooms, 2 decks",22290246,Kevin,,Jamaica Plain,42.32318,-71.11394,Entire home/apt,100,91,0,,,1,0,0,
14153636,King Zen Room near Harvard Biz School - STR383892,26956083,Todd,,Allston,42.36151,-71.12658,Private room,49,3,194,2021-12-01,2.97,4,145,36,STR-383892
14186170,Large & Cozy 1 Bedroom in Center of South Boston,8985714,Tj,,South Boston,42.33194,-71.04729,Entire home/apt,300,2,50,2021-08-30,0.76,1,362,2,STR-446085
14196181,"NUSubmarine.#Boston,NU,Berklee,NEC,+Easy public T",50437930,Misha,,Roxbury,42.33614,-71.08473,Entire home/apt,140,29,170,2021-09-19,2.71,2,0,24,STR-345786
14204600,North End 2 BR | 1 BA Duplex in Little Italy,9410008,Jason,,North End,42.36704,-71.05376,Entire home/apt,355,10,222,2021-11-27,3.40,21,118,33,STR-441408
14205208,"Spectacular, Beacon Hill 2 Bedroom with roof deck",4061992,B. H.,,Beacon Hill,42.35838,-71.06896,Entire home/apt,249,29,4,2016-09-19,0.06,3,240,0,
14242888,Blue Family  bedroom,27871799,Althea,,Mattapan,42.27441,-71.0772,Private room,90,1,73,2021-08-14,1.12,6,319,9,STR-415974
14254537,Luxury condo in the heart of JP,11722054,Nina,,Jamaica Plain,42.31258,-71.11204,Entire home/apt,150,10,24,2021-11-18,0.37,1,61,10,STR-401907
14415125,"ARTHOUSE,  Stay in a gallery!",70542233,Christine,,Jamaica Plain,42.30953,-71.10875,Entire home/apt,99,29,11,2021-10-06,0.17,1,106,1,
